CODE,PFTOT,PF0004,PF0509,PF1014,PF1519,PF2024,PF2529,PF3034,PF3539,PF4044,PF4549,PF5054,PF5559,PF6064,PF6569,PF7074,PF7579,PF8084,PF85P
10010340,256,6,8,13,17,17,19,17,14,11,21,21,16,11,16,19,16,10,4
10010341,168,5,6,10,12,8,7,8,11,8,8,11,10,7,14,21,15,5,2
10010342,213,9,10,10,10,12,15,13,10,9,9,15,20,13,16,17,13,6,6
10010343,158,5,6,9,8,10,9,8,11,9,13,13,12,9,14,11,6,2,3
10010344,512,23,33,30,28,31,45,50,52,30,35,36,32,23,23,17,14,2,8
10010345,464,16,20,34,40,27,24,23,26,25,43,48,40,28,27,19,12,6,6
10010346,209,8,11,15,16,11,11,10,10,10,15,17,21,16,15,12,6,3,2
10010348,744,56,54,46,27,36,48,69,85,71,67,43,34,34,24,23,11,12,4
10010356,706,8,9,6,5,8,13,17,13,10,8,19,23,32,56,67,72,96,244
10010357,161,7,8,10,10,9,7,3,8,5,7,20,17,12,11,10,8,5,4
10010457,218,5,6,7,11,11,12,15,14,15,16,18,19,20,19,13,6,5,6
10010458,276,8,11,11,16,16,19,21,20,30,28,19,21,19,13,10,7,4,3
10010459,280,9,11,12,13,10,13,9,15,16,15,25,21,20,26,28,15,13,9
10010460,275,11,13,9,10,14,22,16,15,14,13,20,23,23,19,24,16,7,6
10010461,174,6,9,7,7,7,10,6,7,7,6,12,12,15,15,19,11,10,8
10010482,259,5,9,9,8,17,32,21,18,25,14,11,23,23,16,9,11,5,3
10010484,449,13,13,7,13,25,34,30,19,20,27,39,33,36,40,37,32,17,14
10010485,244,7,11,11,11,14,14,10,9,14,17,20,22,18,28,22,11,4,1
10010486,631,21,20,16,17,15,41,52,58,37,41,53,60,49,46,41,30,13,21
10010488,300,12,10,10,10,19,27,27,19,11,12,18,28,21,18,25,17,12,4
10010489,149,7,8,11,10,10,11,11,12,9,8,15,13,9,5,4,2,2,2
10010490,265,6,7,14,18,14,15,13,10,9,14,20,18,22,20,22,18,15,10
10010491,648,33,29,24,23,34,70,76,62,45,43,40,42,32,28,25,19,10,13
10010492,326,14,15,17,14,14,20,25,26,26,29,17,22,22,25,19,11,5,5
10010493,165,5,6,7,7,11,15,15,11,7,9,12,17,14,11,7,5,4,2
10010494,217,10,10,12,10,12,14,14,18,16,17,17,14,11,16,14,8,3,1
10010495,179,7,8,13,9,6,14,14,10,14,13,10,16,14,13,10,6,2,0
10010496,199,5,8,7,7,2,5,10,7,16,12,11,23,22,23,15,11,8,7
10010497,240,10,11,10,10,9,8,9,10,18,16,20,22,24,21,18,14,6,4
10010498,310,16,11,13,15,10,11,15,16,24,21,31,27,30,28,18,10,4,10
10010499,110,3,4,4,3,3,2,1,4,6,9,9,9,12,14,13,8,3,3
10010500,279,7,8,12,12,9,8,8,4,7,13,24,30,45,35,23,13,11,10
10010501,178,2,4,5,10,8,8,7,9,11,16,16,14,16,21,18,7,1,5
10010502,199,3,6,9,9,5,8,6,2,15,16,12,26,23,18,16,11,8,6
10010503,133,8,7,7,5,2,3,5,6,6,3,7,13,15,14,15,9,5,3
10010504,202,8,7,8,7,7,10,11,9,6,11,19,22,24,18,16,9,5,5
10010505,361,8,17,19,16,14,14,12,19,18,30,37,34,35,36,28,12,5,7
10010506,261,3,8,13,14,11,14,12,15,16,22,23,23,23,20,20,12,6,6
10010507,212,2,6,15,12,6,8,8,15,17,16,18,20,22,20,15,7,2,3
10010508,257,3,6,12,13,10,16,15,13,17,16,21,22,19,25,25,12,7,5
10010509,228,5,13,15,12,7,10,9,12,19,14,16,21,21,21,17,7,4,5
10010510,193,12,11,9,6,8,10,11,10,10,9,13,15,18,16,16,11,6,2
10010511,242,13,12,12,11,12,11,14,14,19,18,14,16,21,19,17,10,6,3
10010512,245,12,13,15,16,12,11,11,14,17,18,16,19,19,17,16,9,5,5
10010513,257,9,8,9,13,10,10,15,14,14,15,19,22,27,22,13,10,10,17
10010514,251,8,10,11,14,14,14,9,8,12,11,13,23,19,21,16,18,11,19
10010515,274,8,9,10,10,11,12,14,12,16,17,23,33,29,23,20,13,8,6
10010516,200,9,9,8,5,8,11,11,10,13,12,14,18,20,16,13,10,6,7
10010517,363,21,21,22,21,20,17,21,21,20,28,30,29,29,24,18,11,7,3
10010518,389,16,16,16,13,14,18,26,26,25,21,18,20,26,27,27,24,22,34
10010519,225,8,7,10,10,8,10,11,11,15,15,15,18,18,17,22,17,8,5
10010520,161,5,9,11,8,3,9,7,14,12,7,7,13,17,17,11,7,3,1
10010521,277,6,8,14,16,16,13,7,9,20,19,22,26,25,24,20,14,10,8
10010522,227,6,8,10,9,10,9,8,19,19,15,13,18,16,18,18,14,9,8
10010523,249,9,12,14,9,8,11,11,9,14,15,17,22,25,21,18,14,10,10
10010524,206,6,7,6,8,7,7,7,12,17,16,19,21,21,18,14,11,5,4
10010525,246,6,7,15,16,10,7,10,14,16,16,20,20,22,23,20,13,7,4
10010526,186,6,8,12,8,5,9,11,9,10,10,14,18,19,20,15,6,3,3
10010527,215,4,5,13,10,7,10,11,8,13,12,11,16,19,23,27,17,7,2
10010528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010529,199,8,8,16,14,10,15,8,6,8,13,19,20,24,15,8,5,2,0
10010530,205,7,7,7,7,5,10,11,15,14,14,15,16,22,23,15,6,5,6
10010531,140,1,3,1,4,5,4,6,5,9,10,14,11,14,14,13,13,7,6
10010532,214,9,7,17,15,9,9,8,11,11,11,12,11,13,15,18,16,11,11
10010533,209,6,6,9,9,7,8,8,11,10,13,15,15,22,23,17,15,8,7
10010534,204,8,10,11,8,10,12,4,6,16,18,18,17,18,17,14,7,5,5
10010535,345,20,19,20,15,12,16,15,21,27,29,31,27,21,23,23,15,8,3
10010536,303,18,16,19,14,12,21,21,20,22,22,18,18,21,20,17,12,7,5
10010537,379,14,15,19,17,13,13,18,25,23,25,29,30,33,31,28,19,14,13
10010538,253,10,9,15,15,14,12,10,10,11,18,23,22,21,19,19,11,6,8
10010539,297,16,17,18,16,8,9,17,21,16,20,24,22,22,23,21,13,8,6
10010540,446,31,31,32,21,13,21,28,34,29,27,29,28,27,25,25,20,15,10
10010541,259,12,12,12,15,10,11,15,16,21,26,18,14,21,24,19,9,2,2
10010542,281,20,18,17,15,10,11,22,21,16,15,20,23,19,19,16,9,5,5
10010543,314,19,17,17,17,15,16,19,18,22,25,26,22,24,24,14,9,7,3
10010544,278,19,18,17,12,11,14,16,23,21,21,17,17,21,18,15,8,5,5
10010545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010546,301,8,12,19,12,9,13,11,15,24,18,24,29,32,30,18,11,8,8
10010547,566,16,14,18,16,11,16,21,28,29,28,30,38,46,42,40,45,45,83
10010548,315,15,13,22,18,14,16,17,18,20,25,23,20,20,22,25,14,6,7
10010549,343,18,17,13,13,13,18,17,20,19,22,26,27,39,37,20,11,6,7
10010550,207,6,8,9,10,7,10,12,12,13,14,15,19,21,18,17,9,3,4
10010551,196,10,9,4,10,10,8,9,6,13,11,14,18,22,20,16,9,3,4
10010552,181,7,4,3,10,9,8,8,6,15,15,15,14,15,15,16,8,6,7
10010553,179,5,5,5,8,8,11,7,4,7,14,14,20,18,18,17,9,5,4
10010554,239,16,12,11,12,9,7,10,15,14,15,15,18,24,22,15,10,7,7
10010555,246,16,12,9,14,11,11,13,15,15,17,16,14,20,26,19,9,4,5
10010556,152,1,2,5,5,2,11,8,4,5,5,13,19,20,20,13,10,6,3
10010557,194,8,9,9,8,7,11,7,10,16,13,15,20,19,16,13,9,3,1
10010558,204,2,1,5,13,10,8,6,9,15,24,29,25,19,13,11,4,5,5
10010559,174,6,8,12,11,7,5,7,10,8,10,14,15,20,16,9,7,4,5
10010560,323,18,12,14,10,10,14,19,16,19,20,29,32,31,30,25,13,7,4
10010561,178,9,10,10,8,6,5,9,11,11,9,15,18,17,15,11,7,3,4
10010562,347,10,17,20,22,19,16,23,18,17,19,27,31,30,28,21,16,9,4
10010563,246,9,12,12,9,9,7,8,15,19,15,18,17,26,27,18,9,6,10
10010564,301,14,19,18,10,10,12,18,22,19,17,19,23,22,26,20,13,9,10
10010565,291,14,17,17,15,12,9,15,18,17,14,19,27,28,27,17,9,6,10
10010566,318,12,17,17,13,11,10,12,19,24,23,30,32,31,25,14,9,6,13
